ID,Total_Count_x,Refund_Only_Count_x,Rental_Not_Returned_Count_x,Partial_Payment_After_Receipt_Count_x,Payment_Without_Delivery_Count_x,Amount_of_Loss_x,level_x,Total_Count_y,Refund_Only_Count_y,Rental_Not_Returned_Count_y,Partial_Payment_After_Receipt_Count_y,Payment_Without_Delivery_Count_y,Amount_of_Loss_y,level_y,level
360000198908152046,13,0,0,2,1,1026.08,4,18,0,0,0,0,0.0,1,2.5
62000019520624910X,22,0,0,3,4,3609.83,5,24,0,0,0,0,0.0,1,3.0
440000199911165061,14,0,0,5,4,5422.080000000001,5,15,0,0,0,0,0.0,1,3.0
340000200205207027,17,0,0,5,3,2387.58,5,31,0,0,0,0,0.0,1,3.0
320000197401215325,27,0,0,5,3,4555.199999999999,5,27,0,0,0,0,0.0,1,3.0
360000195710080805,23,0,0,3,5,2878.9,5,26,0,0,0,0,0.0,1,3.0
130000195605169725,16,0,0,0,4,1743.76,4,23,0,0,0,0,0.0,1,2.5
630000197011252561,17,0,0,3,3,3401.5600000000004,5,30,0,0,0,0,0.0,1,3.0
330000197602147228,20,0,0,2,5,3658.84,5,27,0,0,0,0,0.0,1,3.0
430000199909049086,19,0,0,1,7,3285.34,5,26,0,0,0,0,0.0,1,3.0
330000198809191693,17,0,0,5,3,3511.05,5,28,0,0,0,0,0.0,1,3.0
640000198108055755,21,0,0,0,8,2707.75,5,32,0,0,0,0,0.0,1,3.0
330000199012155411,15,0,0,2,4,2727.96,5,29,0,0,0,0,0.0,1,3.0
450000199908076465,18,0,0,3,3,1856.97,4,31,0,0,0,0,0.0,1,2.5
620000198002222398,13,0,0,2,2,1536.99,4,27,0,0,0,0,0.0,1,2.5
420000197007185184,17,0,0,3,4,3016.8500000000004,5,28,0,0,0,0,0.0,1,3.0
310000200209240638,16,0,0,6,2,2621.71,5,22,0,0,0,0,0.0,1,3.0
620000199010115044,18,0,0,3,6,3643.9,5,29,0,0,0,0,0.0,1,3.0
140000199507198581,15,0,0,1,1,384.78,4,23,0,0,0,0,0.0,1,2.5
330000198310262536,19,0,0,3,8,6805.379999999999,5,29,0,0,0,0,0.0,1,3.0
210000197602176400,20,0,0,1,8,4813.75,5,28,0,0,0,0,0.0,1,3.0
350000197705120427,14,0,0,4,3,2827.0,5,23,0,0,0,0,0.0,1,3.0
520000198003108040,20,0,0,2,5,3675.83,5,25,0,0,0,0,0.0,1,3.0
370000196605209159,18,0,0,0,0,0.0,1,11,0,0,0,1,964.39,4,2.5
150000197209163332,10,0,0,1,0,518.38,4,10,0,0,0,0,0.0,1,2.5
220000196809102131,18,0,0,0,1,511.31,4,11,0,0,0,1,44.83,3,3.5
640000197012180039,13,0,0,1,0,472.58,4,10,0,0,0,0,0.0,1,2.5
210000197001241035,18,0,0,0,4,1539.73,4,14,0,0,0,0,0.0,1,2.5
360000198704182710,14,0,0,0,0,0.0,1,14,0,0,1,0,529.3,3,2.0
500000197512033640,10,0,0,0,0,0.0,4,11,0,0,1,0,374.2,3,3.5
510000198802222921,13,0,0,0,0,0.0,1,8,0,0,0,1,974.35,4,2.5
520000200504217798,18,0,0,0,1,475.27,4,12,0,0,0,2,1224.12,4,4.0
460000199906230184,10,0,0,0,0,0.0,4,9,0,0,0,1,404.62,3,3.5
520000200407275486,8,0,0,1,0,397.68,4,19,0,0,0,1,460.03,3,3.5
510000198803300178,11,0,0,0,0,0.0,1,16,0,0,0,0,0.0,1,1.0
330000199107063501,12,0,0,0,0,0.0,1,18,0,0,0,1,833.09,3,2.0
310000199712050940,9,0,0,0,0,0.0,4,17,0,0,0,0,0.0,1,2.5
430000200103184671,16,0,0,0,0,0.0,1,15,0,0,0,1,499.55,3,2.0
150000198111193730,10,0,0,0,1,845.76,4,15,0,0,1,0,424.89,3,3.5
230000198802144911,20,0,0,0,2,1549.13,4,17,0,0,0,0,0.0,1,2.5
430000199405285624,18,0,0,0,0,0.0,1,13,0,0,0,0,0.0,1,1.0
220000199302025652,17,0,0,0,1,304.66,4,13,0,0,0,0,0.0,1,2.5
650000196112107805,12,0,0,0,0,0.0,1,13,0,0,0,0,0.0,1,1.0
340000195502096761,13,0,0,0,1,656.61,4,13,0,0,1,0,362.76,3,3.5
330000195904053519,14,0,0,0,0,0.0,1,6,0,0,0,0,0.0,1,1.0
450000195803289239,16,0,0,0,0,0.0,1,15,0,0,0,0,0.0,1,1.0
220000200112201462,11,0,0,0,0,0.0,1,21,0,0,0,0,0.0,1,1.0
340000199608297121,10,0,0,0,0,0.0,3,7,0,0,0,0,0.0,1,2.0
220000199502254599,13,0,0,0,1,664.13,4,8,0,0,0,1,838.46,4,4.0
540000199408022606,4,0,0,0,0,0.0,4,14,0,0,0,0,0.0,1,2.5
430000198908181400,14,0,0,0,2,942.15,3,17,0,0,0,0,0.0,1,2.0
520000198904114253,12,0,0,1,0,345.55,3,9,0,0,0,0,0.0,1,2.0
210000198607268704,8,0,0,0,0,0.0,3,14,0,0,0,0,0.0,1,2.0
460000195003205713,21,0,0,0,0,0.0,1,26,0,0,0,0,0.0,1,1.0
520000196810244007,23,0,0,0,0,0.0,1,21,0,0,0,0,0.0,1,1.0
450000198605030852,31,0,0,0,0,0.0,1,21,0,0,0,0,0.0,1,1.0
140000196810182749,28,0,0,0,0,0.0,1,28,0,0,0,0,0.0,1,1.0
63000019661202077X,25,0,0,0,0,0.0,1,25,0,0,0,0,0.0,1,1.0
44000019941026706X,20,0,0,0,0,0.0,1,8,0,0,0,0,0.0,1,1.0
50000020061124099X,20,0,0,0,0,0.0,1,21,0,0,0,0,0.0,1,1.0
510000197603015896,18,0,0,0,0,0.0,1,28,0,0,0,0,0.0,1,1.0
610000200405312273,14,0,0,0,0,0.0,1,22,0,0,0,0,0.0,1,1.0
