ID,Total_Count_JD,Refund_Only_Count_JD,Rental_Not_Returned_Count_JD,Partial_Payment_After_Receipt_Count_JD,Payment_Without_Delivery_Count_JD,Amount_of_Loss_JD
310000196601011072,38,0,0,0,2,839.9
440000196203293915,29,0,0,0,1,756.05
640000196209270957,33,0,0,0,1,934.63
54000019710927189X,37,0,0,1,1,755.21
350000198902220245,46,0,0,0,1,562.23
150000196611031966,39,0,0,1,0,34.800000000000004
230000198003272458,43,0,0,2,4,3282.25
330000200302084573,39,0,0,0,1,664.01
500000195304176787,38,0,0,0,3,1967.0
37000019560330975X,43,0,0,0,3,1075.2
420000196712032250,49,0,0,1,2,459.08
150000200103086097,50,0,0,2,2,1585.44
360000196903259005,43,0,0,2,3,2032.39
410000197601116665,35,0,0,0,0,0
150000197608095736,36,0,0,1,1,1306.5
140000200404044032,38,0,0,0,0,0
440000200408229932,39,0,0,0,0,0
350000198009241262,38,0,0,2,0,76.19
130000200105236120,38,0,0,0,0,0
120000196310125090,53,0,0,1,0,666.02
510000195008217187,35,0,0,1,0,45.17
350000200502129004,30,0,0,0,3,1936.1
350000196802020992,44,0,0,2,1,1409.24
410000195902224628,39,0,0,0,1,742.98
320000200005278441,41,0,0,0,1,42.02
610000197607023168,48,0,0,0,1,330.79
650000195404063889,35,0,0,0,2,1572.1599999999999
430000198602040488,49,0,0,0,1,685.27
640000198211256723,42,0,0,0,1,155.59
450000195802181947,42,0,0,1,0,526.87
42000019810407048X,36,0,0,0,0,0
220000199905189816,47,0,0,1,2,1035.3799999999999
37000019740708891X,47,0,0,1,1,652.01
210000200012096640,30,0,0,0,0,0
230000200312113928,31,0,0,0,0,0
230000196909123943,41,0,0,0,1,806.16
540000197311195106,49,0,0,0,1,508.73
32000020010212935X,41,0,0,1,0,672.62
210000200604183633,44,0,0,0,0,0
360000199304306002,36,0,0,0,1,496.22
110000197601071734,44,0,0,0,1,185.74
500000196108084951,43,0,0,1,1,1061.7799999999997
41000019940903268X,42,0,0,0,1,888.63
120000197908185252,44,0,0,0,2,243.45999999999998
53000019760310100X,41,0,0,1,1,1312.6
210000198106017712,48,0,0,0,4,1806.3200000000002
370000200204226897,46,0,0,0,1,618.22
120000199209031771,42,0,0,0,0,0
450000199903102919,35,0,0,0,1,525.29
610000196001041674,45,0,0,0,1,344.25
650000200210122987,37,0,0,0,1,73.44
630000195608032482,33,0,0,0,1,804.55
610000196005057999,38,0,0,0,0,0
410000199409099649,47,0,0,0,0,0
210000199003138874,49,0,0,0,3,2109.5099999999998
110000198105145962,32,0,0,0,2,869.01
510000195202218036,38,0,0,0,1,358.05
540000198003034399,34,0,0,0,1,124.04
360000198601067277,39,0,0,1,1,883.72
360000198302017608,43,0,0,0,0,0
640000198603186154,35,0,0,0,0,0
530000197508251245,42,0,0,0,1,813.75
120000199708246099,38,0,0,0,0,0
120000196509274245,39,0,0,1,0,636.55
510000199002135998,34,0,0,1,1,763.11
440000198805073900,28,0,0,0,2,231.62
440000198305206500,42,0,0,0,1,31.93
150000198812303197,44,0,0,2,3,2782.49
340000198307014322,51,0,0,0,2,472.63
420000196611056392,42,0,0,3,1,1224.13
310000196708123162,44,0,0,1,0,218.37000000000003
130000195102215603,41,0,0,1,3,1131.37
120000196508185099,42,0,0,0,1,427.42
650000195403183619,47,0,0,0,3,2247.7200000000003
510000196110040319,44,0,0,1,1,761.9699999999999
50000020050215403X,46,0,0,1,4,1901.1099999999997
530000197102193399,35,0,0,0,1,393.17
530000199802222428,51,0,0,1,0,405.65999999999997
150000197811113661,44,0,0,0,0,0
140000196704064423,41,0,0,0,2,1826.02
110000199210072202,38,0,0,2,1,1369.31
520000198909104732,47,0,0,2,1,1845.1
350000200001080783,41,0,0,0,3,1953.3899999999999
330000199910157005,32,0,0,0,2,1147.5700000000002
500000197005063909,35,0,0,0,0,0
120000195709185090,46,0,0,0,1,281.74
110000199509107799,32,0,0,0,0,0
450000195606128241,43,0,0,0,1,873.18
640000195408270752,49,0,0,0,4,1266.64
520000200205119426,46,0,0,0,0,0
15000019740217739X,43,0,0,2,0,1160.93
330000196701231033,42,0,0,0,2,1235.9
310000196710216077,41,0,0,0,1,293.18
430000199907173892,33,0,0,0,0,0
540000195105232173,30,0,0,0,0,0
340000196004309271,36,0,0,1,0,228.59999999999997
37000019601013408X,37,0,0,0,1,32.42
44000020031211476X,42,0,0,0,1,619.53
370000200405172522,39,0,0,0,1,394.71
340000197409012139,37,0,0,1,2,1636.3200000000002
530000200612115520,47,0,0,1,4,2231.86
31000019610604546X,33,0,0,0,1,795.28
640000200407132060,45,0,0,2,0,698.0699999999999
140000200210266497,50,0,0,0,3,999.3199999999999
650000195004202501,43,0,0,2,3,1593.5500000000002
650000197103167202,39,0,0,1,0,740.6
350000200110085903,40,0,0,0,2,848.4
430000196408192817,45,0,0,0,0,0
410000195205133595,30,0,0,0,0,0
440000195109050568,40,0,0,0,3,1553.1100000000001
610000198602087474,44,0,0,1,0,462.38
110000200504232238,49,0,0,0,2,1597.6399999999999
140000196607155390,41,0,0,0,1,246.45
210000198207145078,35,0,0,0,0,0
110000196702204431,28,0,0,0,0,0
420000196511172281,52,0,0,1,0,507.24
500000195805087918,51,0,0,2,0,1151.5700000000002
140000198006117857,39,0,0,2,2,2199.02
310000197304115072,34,0,0,1,2,1444.19
500000196404258047,36,0,0,0,1,12.6
520000198404240288,36,0,0,0,2,1612.3400000000001
120000200501082918,42,0,0,0,0,0
210000195208224081,37,0,0,0,1,129.73
130000196605199363,33,0,0,0,1,372.28
340000196307185819,33,0,0,0,1,435.02
150000196211202148,44,0,0,1,2,965.07
230000196610252070,39,0,0,2,1,1880.67
360000195903037571,44,0,0,0,0,0
64000019821205367X,32,0,0,1,0,184.14
410000196606230286,52,0,0,1,3,1786.5
440000200607074128,40,0,0,0,0,0
530000197101179472,40,0,0,0,0,0
420000197501263141,42,0,0,1,4,2046.9299999999998
540000198911263226,44,0,0,0,0,0
530000200109284351,36,0,0,0,1,653.29
150000197302213007,46,0,0,0,0,0
610000198601070830,32,0,0,0,1,675.77
530000200005300644,46,0,0,0,0,0
340000197711086120,44,0,0,1,2,1899.94
45000019881116427X,38,0,0,0,1,679.5
230000200605278128,25,0,0,0,0,0
320000200009107746,38,0,0,0,1,491.53
310000198802263814,39,0,0,0,0,0
150000195109227424,29,0,0,0,0,0
210000196605042323,46,0,0,0,1,225.94
110000199604274368,27,0,0,0,0,0
210000200505171186,35,0,0,2,0,1203.85
230000196907315896,50,0,0,0,0,0
220000199112290033,31,0,0,0,0,0
460000195608016915,41,0,0,0,2,1563.03
340000197307035022,38,0,0,0,0,0
120000195604034560,30,0,0,0,0,0
510000195708161559,29,0,0,0,0,0
120000195805279222,45,0,0,0,2,844.9
140000198006222198,31,0,0,0,0,0
42000019500203023X,33,0,0,0,1,948.07
350000198404066812,57,0,0,1,1,939.78
450000198012094500,45,0,0,0,0,0
620000199005090743,42,0,0,1,0,446.34
540000196602034877,42,0,0,0,1,804.15
340000196904051827,33,0,0,0,1,986.98
320000199107083463,44,0,0,0,3,2283.1
620000196605293567,39,0,0,0,3,1206.45
510000200404268174,46,0,0,0,2,125.46
150000200008104971,45,0,0,1,0,451.59999999999997
450000195105206205,45,0,0,2,1,1230.75
640000200501293821,46,0,0,0,2,1673.83
230000198103197774,47,0,0,1,0,175.32
360000200312103104,26,0,0,1,1,1069.05
440000199309115627,33,0,0,0,2,926.17
460000197111194192,43,0,0,2,1,1592.58
440000196707068658,40,0,0,0,0,0
610000199007199011,32,0,0,0,1,55.83
360000195507082821,40,0,0,1,0,532.81
610000197108261313,27,0,0,0,1,932.03
510000200204266430,46,0,0,0,0,0
500000195205202513,29,0,0,0,2,649.6899999999999
15000019640205845X,50,0,0,1,1,1181.47
640000198409188965,35,0,0,1,0,492.0799999999999
360000195511106929,33,0,0,1,4,3222.9
650000197602083134,35,0,0,1,0,437.55999999999995
130000200207263285,43,0,0,2,3,3124.33
650000199803066591,50,0,0,0,3,1505.6799999999998
650000196808159339,40,0,0,0,1,636.1
370000199605167597,49,0,0,0,1,872.37
230000198910308194,32,0,0,1,1,959.6700000000001
230000195306010101,39,0,0,1,2,1552.65
320000195608230857,36,0,0,0,5,1888.33
530000199506225667,43,0,0,1,1,1073.24
420000197111188115,47,0,0,0,0,0
110000198510090387,47,0,0,0,3,1105.0
31000019740106369X,28,0,0,1,0,310.78999999999996
610000198802296158,33,0,0,0,1,165.02
210000198505124216,40,0,0,2,1,1166.58
140000196606215320,53,0,0,0,0,0
340000196904128038,28,0,0,0,1,234.25
310000200511023693,32,0,0,1,3,3138.6
350000197809292872,51,0,0,1,1,714.79
440000195304085694,38,0,0,0,2,829.1099999999999
620000196402253020,37,0,0,0,1,649.5
610000196611065446,45,0,0,1,2,1263.48
530000196301231808,51,0,0,1,2,1028.56
310000196806195928,36,0,0,0,0,0
220000200011227540,43,0,0,0,2,630.59
540000195203310534,42,0,0,0,2,1075.06
220000196706084284,44,0,0,2,1,1341.38
230000198006107685,46,0,0,0,1,200.95
510000198904268453,44,0,0,0,2,1372.55
210000199011075746,45,0,0,0,3,1333.0800000000002
360000196208193286,40,0,0,1,3,3112.31
33000019730309180X,48,0,0,0,0,0
330000196110094954,53,0,0,0,1,463.19
440000198308061618,37,0,0,0,1,498.94
120000195510112898,33,0,0,0,0,0
500000197111271656,37,0,0,0,0,0
450000195407116686,44,0,0,0,1,564.29
540000198204035953,47,0,0,0,0,0
220000198507255836,41,0,0,0,2,978.55
43000019650320509X,43,0,0,1,2,726.38
460000196702093559,43,0,0,0,2,1234.3899999999999
410000200602172380,31,0,0,0,1,840.36
640000199107092372,30,0,0,1,1,606.06
500000197111091508,35,0,0,0,0,0
140000198202056182,29,0,0,0,3,1342.9299999999998
500000196612188127,40,0,0,0,1,831.01
370000196108021075,34,0,0,0,0,0
610000196111057909,34,0,0,0,1,320.82
620000198301306225,42,0,0,1,1,705.9399999999999
330000196807096685,40,0,0,1,0,452.67
510000197608162465,49,0,0,0,2,497.45000000000005
45000020020312950X,40,0,0,1,2,1439.95
640000199808220509,39,0,0,1,1,1301.3200000000002
510000198404107880,43,0,0,0,2,1004.8299999999999
330000200605137337,38,0,0,1,2,914.51
340000198305172036,39,0,0,1,1,318.71
340000197808238362,42,0,0,1,3,1440.0700000000002
110000198805185631,37,0,0,0,2,945.74
330000197510223617,40,0,0,0,0,0
140000199312291209,36,0,0,1,0,248.17
510000196106220173,39,0,0,2,0,897.7900000000002
210000198905229850,50,0,0,0,1,618.95
410000199606231901,43,0,0,1,1,443.29
21000019950313700X,45,0,0,0,0,0
610000195708140444,37,0,0,0,1,961.39
640000196310202641,36,0,0,1,1,1153.05
530000198711122232,35,0,0,0,1,996.99
530000199410200596,46,0,0,2,1,784.4799999999999
650000198704184328,37,0,0,0,1,886.59
22000019730906820X,39,0,0,0,0,0
220000195706156941,47,0,0,1,2,945.0
640000195310303739,34,0,0,0,1,507.59
450000199703250132,37,0,0,0,2,930.52
150000197803141128,46,0,0,0,2,492.24
350000200402163715,45,0,0,0,0,0
440000196308130709,40,0,0,1,1,910.3899999999999
210000200101134952,38,0,0,1,1,1506.0700000000002
50000019700205648X,37,0,0,0,1,853.03
310000196307176650,44,0,0,0,1,451.27
110000195103052769,30,0,0,0,0,0
140000196105276133,34,0,0,0,3,1484.38
520000195807050987,38,0,0,0,1,771.66
410000198604136279,43,0,0,0,1,516.44
610000199508085792,30,0,0,0,0,0
450000199107271164,35,0,0,1,0,407.44
610000195202078129,38,0,0,0,0,0
610000197002190684,43,0,0,0,2,265.98
500000195608244048,38,0,0,1,0,390.29
650000196102124935,36,0,0,0,1,264.84
220000200407243264,43,0,0,0,0,0
510000200202029503,44,0,0,0,2,512.82
460000196008103817,46,0,0,1,1,689.01
110000196505289624,47,0,0,0,3,1975.3500000000001
610000198410124920,40,0,0,1,1,829.0500000000001
360000197208151750,47,0,0,0,1,593.77
410000198910090723,40,0,0,0,1,180.58
130000197112099908,36,0,0,1,2,1236.89
310000197808198756,33,0,0,0,1,852.84
430000199511065473,49,0,0,1,3,1278.41
130000199407150693,53,0,0,1,3,1654.3
14000019970930459X,41,0,0,0,1,546.33
63000019670308105X,42,0,0,0,2,1322.62
420000197607234947,42,0,0,2,3,1509.7999999999997
33000020050111419X,36,0,0,0,0,0
430000197506077008,29,0,0,0,1,58.73
460000199510105926,34,0,0,0,0,0
120000198009026244,48,0,0,2,1,979.7800000000001
460000196309030113,40,0,0,0,0,0
14000019770101226X,36,0,0,1,1,510.17999999999995
450000197311173407,25,0,0,0,1,410.7
110000195501199387,45,0,0,0,1,347.54
37000020041028297X,38,0,0,1,0,353.13
370000200108317297,41,0,0,0,1,213.75
450000200304163192,46,0,0,0,1,561.98
460000195806091545,36,0,0,1,1,1479.02
44000019991223214X,36,0,0,0,1,206.72
320000195303230725,35,0,0,1,0,142.8
640000200407209291,37,0,0,0,1,672.23
320000195512037227,44,0,0,0,2,1589.79
450000198005213567,43,0,0,0,0,0
220000196807064602,41,0,0,0,0,0
210000197206011073,38,0,0,1,1,1148.19
320000197803116960,52,0,0,1,1,896.5
410000199705276902,36,0,0,2,0,438.4599999999999
310000196611027510,36,0,0,0,1,15.76
500000198803277156,38,0,0,0,1,119.0
210000196406227122,41,0,0,0,1,648.35
350000196008194936,19,0,0,0,0,0
340000198209229872,39,0,0,0,2,1160.23
320000195809143047,41,0,0,0,0,0
320000197401122129,41,0,0,0,1,590.4
620000197810050980,37,0,0,0,1,232.84
410000195705031747,46,0,0,0,0,0
210000196212241292,42,0,0,0,1,811.58
63000019810704565X,40,0,0,0,1,875.36
220000199512190998,41,0,0,0,1,792.37
540000197308017843,42,0,0,1,2,1171.6
35000019710129790X,48,0,0,0,1,89.3
450000198703130486,30,0,0,0,0,0
370000195211202793,35,0,0,0,0,0
65000019831009213X,42,0,0,1,0,351.48
360000196702098313,38,0,0,2,2,1450.78
310000195201139304,35,0,0,2,1,1090.96
620000198105195687,45,0,0,0,1,429.24
430000199112295095,46,0,0,2,0,572.3299999999999
150000195809059521,53,0,0,1,1,914.61
520000197712208787,40,0,0,0,2,709.27
650000196412215015,48,0,0,0,1,430.1
210000198206085632,44,0,0,1,2,481.17
110000199011108073,23,0,0,0,2,433.78
620000198905230014,32,0,0,0,0,0
360000199105244531,31,0,0,0,0,0
210000196712070098,34,0,0,0,0,0
37000019980506877X,37,0,0,1,0,474.62999999999994
530000196703245241,33,0,0,1,3,1053.03
220000197104139676,42,0,0,0,1,832.31
450000199807227930,40,0,0,0,0,0
310000198911028338,40,0,0,0,2,1469.4299999999998
150000196712027106,38,0,0,0,1,254.67
340000199607267369,33,0,0,0,2,342.09000000000003
350000197404197682,51,0,0,0,0,0
150000199212242815,41,0,0,0,0,0
120000200212292724,49,0,0,0,2,608.17
510000197105026154,42,0,0,0,2,1509.26
430000195906164443,37,0,0,1,0,453.22999999999996
370000196606039833,48,0,0,1,1,427.24
63000020010505101X,38,0,0,0,1,314.91
120000196504291695,36,0,0,1,1,265.11
110000198510208808,44,0,0,0,1,786.82
130000199210162439,40,0,0,1,1,891.19
540000197508018584,47,0,0,0,1,613.09
22000019630206077X,37,0,0,1,0,360.42999999999995
110000195908118024,41,0,0,2,0,1243.9
440000200605046713,46,0,0,0,2,571.29
450000198711264302,40,0,0,0,0,0
460000195601270435,36,0,0,0,3,1096.15
50000020060217787X,31,0,0,0,1,645.42
450000199710222287,50,0,0,1,1,1453.7
210000196105267753,44,0,0,2,0,938.27
32000019870720368X,43,0,0,4,0,2320.71
540000200104279061,43,0,0,0,0,0
650000195710077664,41,0,0,0,1,807.06
640000197309217066,40,0,0,1,2,1097.44
32000019690517194X,30,0,0,0,0,0
150000195001184389,33,0,0,1,1,745.27
140000199010068968,53,0,0,3,2,1713.71
420000197612224233,39,0,0,0,1,370.16
310000195302100046,43,0,0,0,1,169.81
110000196206123683,43,0,0,2,0,819.16
610000198911264817,44,0,0,2,1,1506.87
210000196007178298,47,0,0,1,2,1576.88
450000199109212109,49,0,0,0,1,222.04
440000196501138307,40,0,0,0,1,98.8
320000197609225573,46,0,0,0,1,729.14
370000200206282331,46,0,0,1,0,274.06
540000200310239722,49,0,0,0,1,594.99
330000198004061146,43,0,0,0,1,999.04
410000197809303590,39,0,0,1,1,986.3699999999999
360000198802157746,35,0,0,1,1,898.3199999999999
440000197708052695,41,0,0,1,0,449.23
370000196407220074,41,0,0,1,0,632.5
510000200203193890,33,0,0,0,1,119.96
460000196509304414,40,0,0,0,0,0
210000199006138917,37,0,0,0,0,0
210000197111285266,35,0,0,0,0,0
530000199302061453,46,0,0,1,1,1424.32
23000019630618937X,33,0,0,1,1,529.96
420000198802288670,42,0,0,0,3,2132.58
630000195011072289,40,0,0,0,3,2166.57
110000199206179808,31,0,0,0,2,1322.79
530000196910056806,44,0,0,0,3,1521.21
500000196303180471,31,0,0,2,1,1579.78
440000199402012294,39,0,0,0,0,0
460000196305117393,37,0,0,1,1,792.7
630000197701195517,37,0,0,0,0,0
130000195609152330,46,0,0,0,2,322.04
630000195108181449,40,0,0,0,1,215.28
34000020040720107X,37,0,0,1,0,207.98999999999998
340000200408314527,32,0,0,0,0,0
440000198603137224,38,0,0,0,0,0
220000200502169568,31,0,0,0,1,732.29
230000197707273120,47,0,0,1,5,4105.089999999999
150000200307218629,49,0,0,0,2,595.4200000000001
640000197910019060,52,0,0,0,2,1773.85
650000198502051682,44,0,0,1,1,631.5799999999999
410000199607316712,40,0,0,0,0,0
130000195009084741,52,0,0,0,2,843.34
210000198904156143,37,0,0,1,1,993.75
140000195905307298,42,0,0,0,0,0
120000198009161593,36,0,0,0,0,0
440000198810070341,36,0,0,0,2,1005.49
150000197903083068,42,0,0,0,0,0
350000198010294054,37,0,0,0,3,760.88
61000019890611227X,28,0,0,0,0,0
61000020050225057X,42,0,0,0,2,1125.53
520000198005100309,36,0,0,0,0,0
230000200203115799,48,0,0,1,2,1260.6299999999999
21000019770415021X,42,0,0,1,0,615.6800000000001
410000198202269685,42,0,0,0,0,0
150000199401038100,45,0,0,0,1,560.31
620000198005160954,40,0,0,0,0,0
11000020020926363X,34,0,0,1,0,234.93000000000004
110000199710183961,48,0,0,0,1,205.83
510000200406292012,40,0,0,0,1,656.01
230000199407208019,47,0,0,1,2,1635.83
510000199312197633,41,0,0,1,1,613.52
330000199404178372,36,0,0,0,3,1459.48
370000196609171469,42,0,0,0,2,805.99
500000195511187876,41,0,0,0,1,505.35
500000195503299886,52,0,0,0,1,276.78
440000195304054687,35,0,0,0,2,1116.66
210000195701011338,38,0,0,0,0,0
500000200411053161,43,0,0,1,0,343.19999999999993
410000199309190437,43,0,0,1,1,1129.73
520000195611142222,45,0,0,0,2,251.63
420000199209263207,31,0,0,0,0,0
220000197511108615,26,0,0,0,1,523.72
37000019540125245X,43,0,0,0,0,0
510000200109021240,42,0,0,3,1,1882.8400000000001
520000198012196775,51,0,0,0,2,1242.88
350000198510227018,40,0,0,0,0,0
110000195102103720,42,0,0,2,0,201.72000000000003
440000199609192667,53,0,0,0,3,2329.6
370000195110048264,38,0,0,0,1,636.03
210000199005265244,34,0,0,2,2,1697.13
110000199509233402,38,0,0,1,1,1225.24
230000199702181285,43,0,0,1,0,698.14
140000198707115344,32,0,0,0,5,1988.93
110000196608036160,44,0,0,1,1,1173.83
340000196810113564,41,0,0,1,3,1994.66
520000195806038214,48,0,0,0,1,416.35
650000196603284945,42,0,0,1,1,587.5
410000199403213586,44,0,0,1,1,1429.52
640000198701186254,44,0,0,0,1,188.98
540000198405251425,43,0,0,0,2,813.31
530000199801238030,34,0,0,0,1,163.11
440000196703157389,30,0,0,1,0,264.14
460000196802278120,32,0,0,1,0,62.980000000000004
140000195305276256,42,0,0,0,0,0
110000195110215693,40,0,0,0,1,59.12
44000020050602317X,46,0,0,0,0,0
530000200510178299,46,0,0,0,3,1586.55
610000195501276328,45,0,0,0,1,192.14
150000195909105660,24,0,0,0,0,0
500000199412315092,41,0,0,0,1,89.52
370000200410283681,49,0,0,0,3,1391.32
510000199207263803,40,0,0,1,1,1053.03
45000019891128253X,36,0,0,0,0,0
610000196611215619,38,0,0,1,1,758.31
310000195506137676,34,0,0,1,2,1242.72
440000200605237966,39,0,0,0,0,0
110000197907276054,46,0,0,0,3,1427.82
510000197602147862,38,0,0,0,1,125.31
630000198108202960,46,0,0,0,2,577.3299999999999
350000197606197779,41,0,0,0,0,0
520000197303216671,37,0,0,0,1,876.12
540000198801175268,42,0,0,0,2,1436.64
460000199612247845,40,0,0,0,0,0
500000195902106703,43,0,0,2,1,941.9200000000001
54000019620416908X,38,0,0,0,0,0
110000196203099374,35,0,0,1,1,1756.2200000000003
330000195604119563,54,0,0,0,3,2116.95
320000197409160779,34,0,0,0,1,854.2
230000198510201160,50,0,0,0,1,853.5
500000200303141711,42,0,0,1,2,1017.71
230000199010313144,38,0,0,0,0,0
150000199502196175,55,0,0,1,1,1383.24
340000195201207624,40,0,0,1,1,78.82
150000195905237615,39,0,0,0,1,196.28
520000199104203746,38,0,0,0,1,518.55
140000196807210112,44,0,0,0,1,337.56
320000197404067081,42,0,0,0,0,0
370000196403276564,40,0,0,0,1,517.84
440000195012247276,38,0,0,0,2,1100.47
530000199710278010,36,0,0,0,2,429.67
130000195409161339,43,0,0,1,0,383.52
420000198009271304,23,0,0,0,0,0
510000198711277118,49,0,0,0,2,396.06
310000197505315185,45,0,0,0,1,68.12
500000198906052670,49,0,0,0,2,217.9
370000195003178135,36,0,0,1,0,641.8399999999999
610000199711205753,40,0,0,1,1,1194.18
210000197403285946,38,0,0,1,0,376.80999999999995
140000199810126185,47,0,0,0,2,1067.62
510000196602186031,33,0,0,0,0,0
430000196402082772,39,0,0,0,1,646.25
140000198611275335,33,0,0,0,1,740.46
220000197806228630,34,0,0,0,2,1446.62
530000195202241504,53,0,0,0,0,0
350000195106296261,49,0,0,2,1,1055.37
350000199203093739,33,0,0,0,0,0
460000195512218694,46,0,0,0,2,1260.8200000000002
620000199504268649,38,0,0,0,0,0
540000199606247160,49,0,0,1,0,415.31999999999994
650000195407119104,35,0,0,0,0,0
320000199911130478,35,0,0,0,1,247.17
440000196805179466,48,0,0,1,2,1741.52
450000195610034379,32,0,0,0,1,417.78
370000197004090660,24,0,0,1,0,584.46
350000199108297995,43,0,0,1,1,492.59
330000199804074185,42,0,0,1,2,1679.35
360000200012141360,38,0,0,0,2,1567.9299999999998
23000019970923161X,56,0,0,0,1,813.03
630000199508093913,46,0,0,0,0,0
500000198109141654,43,0,0,0,0,0
210000197011208511,25,0,0,0,0,0
310000195301117137,36,0,0,0,0,0
360000199203233406,33,0,0,1,0,700.88
540000199307234765,38,0,0,0,5,1846.7800000000002
540000196802071912,46,0,0,1,3,1871.98
350000200509133655,39,0,0,2,0,1213.58
530000196504221909,46,0,0,0,1,647.6
620000195506197882,43,0,0,0,0,0
500000199207062313,36,0,0,0,0,0
410000198610276139,31,0,0,0,0,0
220000199102249862,43,0,0,2,0,741.8800000000001
370000199509080344,39,0,0,1,1,429.9
310000196304173358,30,0,0,0,0,0
650000200108080004,47,0,0,0,1,113.12
500000199104037561,45,0,0,0,2,1199.98
120000196309233334,36,0,0,0,2,978.67
340000196508025678,47,0,0,0,0,0
640000200506239955,32,0,0,0,1,263.67
430000199101134907,47,0,0,1,1,788.89
620000198609138715,44,0,0,0,2,1381.88
110000198605236393,41,0,0,1,0,328.49999999999994
21000019540613591X,47,0,0,1,3,1048.12
430000200105116760,33,0,0,0,2,509.6
130000198210145765,42,0,0,0,2,629.45
21000019830813137X,38,0,0,0,0,0
350000198507308490,30,0,0,0,0,0
520000198806105919,40,0,0,0,3,1979.09
43000019810827756X,37,0,0,0,2,1324.0
15000020050813662X,38,0,0,0,1,481.66
460000200502071784,50,0,0,1,1,1039.67
410000198012282758,50,0,0,0,1,977.43
370000199307319804,43,0,0,0,2,1376.7800000000002
130000199005243184,31,0,0,0,0,0
530000197207178531,34,0,0,0,1,620.64
220000196712217354,40,0,0,0,0,0
420000199104194815,37,0,0,0,0,0
540000198510220567,49,0,0,1,1,363.45000000000005
520000196903204127,53,0,0,0,3,1292.1799999999998
220000200305282166,45,0,0,0,1,891.51
520000197703094773,28,0,0,0,0,0
210000198306089489,42,0,0,0,1,252.14
610000195103284656,35,0,0,0,1,67.78
310000196208179768,33,0,0,1,1,971.33
110000199609078905,38,0,0,0,0,0
220000199701064800,45,0,0,1,0,48.64
360000197007186789,36,0,0,0,1,423.89
430000195608160938,32,0,0,0,2,698.89
220000195906038886,34,0,0,0,0,0
370000200206206865,40,0,0,1,1,281.51
650000199010283844,35,0,0,0,1,611.23
140000198605054747,31,0,0,0,2,901.79
42000020000313072X,58,0,0,0,2,1092.43
430000198309182620,41,0,0,0,0,0
230000195712070994,32,0,0,0,1,934.65
650000197903076296,43,0,0,0,0,0
110000196912072481,40,0,0,1,0,242.39000000000001
520000200106243608,39,0,0,0,1,847.5
340000197709047827,37,0,0,0,0,0
610000195704125896,46,0,0,1,0,462.81999999999994
540000195909109082,34,0,0,0,1,844.23
620000197308205342,43,0,0,1,2,1342.77
320000197410059280,35,0,0,0,1,315.04
610000196805234201,47,0,0,0,2,474.80999999999995
450000199305240692,34,0,0,1,1,1011.49
350000197508084842,29,0,0,0,1,942.83
500000199205244586,41,0,0,0,1,759.57
520000200106129362,46,0,0,0,3,1198.27
220000197810208851,40,0,0,0,0,0
540000199308102545,36,0,0,0,1,848.67
440000196611241057,42,0,0,1,2,2191.4300000000003
320000198002011987,50,0,0,1,3,1522.9
