用户（身份证）,信用评级,平台类型
460000198003293462,30,CreditCard
54000019620416908X,62,CreditCard
140000198705287783,81,CreditCard
630000196509291811,29,CreditCard
120000195604034560,43,CreditCard
140000196304187088,19,CreditCard
21000020010114363X,79,CreditCard
220000198907087587,12,CreditCard
520000197312264579,90,CreditCard
120000196910044374,21,CreditCard
37000020001123193X,7,CreditCard
420000197409282307,13,CreditCard
420000195106117153,54,CreditCard
340000197408264166,7,CreditCard
120000198507087699,50,CreditCard
62000019550517649X,18,CreditCard
430000195203063603,85,CreditCard
640000198605277105,28,CreditCard
510000196107105409,16,CreditCard
150000195809059521,57,CreditCard
650000196409142740,0,CreditCard
620000199008207679,60,CreditCard
120000198308290184,52,CreditCard
630000197710058354,85,CreditCard
650000197901067863,59,CreditCard
410000198108167113,79,CreditCard
310000195312146187,25,CreditCard
230000197112257375,37,CreditCard
620000200307275941,50,CreditCard
130000198801226807,80,CreditCard
610000195408306553,0,CreditCard
350000199805053267,43,CreditCard
610000200007127363,48,CreditCard
540000199107118946,42,CreditCard
320000199812299462,0,CreditCard
540000195105232173,54,CreditCard
210000198701103711,63,CreditCard
610000198302115197,92,CreditCard
330000195303034486,43,CreditCard
220000199401100734,31,CreditCard
150000197709088631,50,CreditCard
520000199701155906,20,CreditCard
140000200207258752,40,CreditCard
110000199011108073,61,CreditCard
420000199401188630,26,CreditCard
340000197709085487,97,CreditCard
110000196912072481,3,CreditCard
350000200302274047,54,CreditCard
220000198704125950,62,CreditCard
330000195008243488,53,CreditCard
500000195709043384,45,CreditCard
540000198801175268,67,CreditCard
520000200108020811,23,CreditCard
370000195405194621,0,CreditCard
230000196102074001,64,CreditCard
14000019770624991X,11,CreditCard
440000196707068658,94,CreditCard
510000195606186376,61,CreditCard
540000195210269859,35,CreditCard
630000195506111104,90,CreditCard
120000195711208511,13,CreditCard
650000197703059942,90,CreditCard
42000019810407048X,35,CreditCard
120000199401258749,51,CreditCard
35000019811007469X,38,CreditCard
110000195003219752,33,CreditCard
650000197601227378,29,CreditCard
420000198707200642,89,CreditCard
630000195904081086,82,CreditCard
140000198512217332,50,CreditCard
530000195205088963,46,CreditCard
110000195201132375,18,CreditCard
540000195912224997,38,CreditCard
640000196805225175,42,CreditCard
430000195203015169,54,CreditCard
640000195209089897,80,CreditCard
420000195504040518,25,CreditCard
650000197602083134,0,CreditCard
220000200106280184,10,CreditCard
210000197011208511,86,CreditCard
640000197709233831,71,CreditCard
620000197510295599,32,CreditCard
41000019590409437X,74,CreditCard
46000019990327611X,91,CreditCard
650000198202250436,71,CreditCard
630000199008046467,19,CreditCard
620000196311186029,5,CreditCard
640000196006226008,85,CreditCard
32000019870727826X,96,CreditCard
370000198111039638,94,CreditCard
640000198903128183,75,CreditCard
150000196611283506,64,CreditCard
130000197711020966,63,CreditCard
54000019700515826X,59,CreditCard
420000196611056392,66,CreditCard
110000200504232238,69,CreditCard
310000196007307225,63,CreditCard
140000196410108777,86,CreditCard
420000197612105824,34,CreditCard
220000200403051046,68,CreditCard
630000200010018823,63,CreditCard
500000200006055489,83,CreditCard
120000196901294443,87,CreditCard
150000196006264972,13,CreditCard
320000195706082165,18,CreditCard
110000197907276054,38,CreditCard
520000198311128481,29,CreditCard
520000199809066526,45,CreditCard
440000197303288114,85,CreditCard
650000195102053853,98,CreditCard
450000198006068939,2,CreditCard
610000197108261313,83,CreditCard
51000019890722312X,48,CreditCard
430000196409033623,33,CreditCard
110000195012259422,61,CreditCard
460000199307205622,42,CreditCard
410000196302159898,25,CreditCard
610000196203304591,91,CreditCard
370000198311117354,72,CreditCard
620000200103080691,62,CreditCard
110000199109222034,87,CreditCard
340000195211038860,9,CreditCard
230000200207294771,7,CreditCard
340000199902214083,69,CreditCard
320000195901059075,21,CreditCard
610000195501276328,48,CreditCard
140000198203095917,33,CreditCard
500000199204118246,12,CreditCard
510000198711277118,56,CreditCard
150000199509281268,26,CreditCard
330000196409114606,76,CreditCard
450000197712175198,85,CreditCard
620000199411267196,97,CreditCard
610000195308010843,100,CreditCard
350000198802257841,36,CreditCard
440000195309175947,64,CreditCard
630000198104166536,6,CreditCard
640000199911023431,78,CreditCard
350000200001080783,43,CreditCard
650000197612280676,26,CreditCard
150000197504301048,81,CreditCard
410000200311171396,79,CreditCard
120000198108224350,92,CreditCard
21000019920118082X,26,CreditCard
610000197406267166,79,CreditCard
610000195901088000,14,CreditCard
220000200001199937,62,CreditCard
52000019790929878X,91,CreditCard
110000197410273309,36,CreditCard
520000199605049521,87,CreditCard
360000198207308554,1,CreditCard
540000199712132201,14,CreditCard
430000199907173892,9,CreditCard
370000197609227877,58,CreditCard
620000199504201313,38,CreditCard
360000196712044183,39,CreditCard
310000198108153332,40,CreditCard
610000197212296487,20,CreditCard
360000197107317504,8,CreditCard
640000195011160264,24,CreditCard
320000195206065297,72,CreditCard
130000197009274050,62,CreditCard
43000019771013732X,26,CreditCard
370000200409123920,85,CreditCard
440000196804063584,23,CreditCard
210000199510168023,26,CreditCard
35000019860129198X,88,CreditCard
51000019970226669X,30,CreditCard
650000197212026097,6,CreditCard
460000197712115912,22,CreditCard
330000196612028594,29,CreditCard
650000196910166156,6,CreditCard
130000196111075037,82,CreditCard
510000197106294388,48,CreditCard
530000200309266393,80,CreditCard
430000196205139151,30,CreditCard
650000198005152562,61,CreditCard
630000197809091015,60,CreditCard
540000198510220567,23,CreditCard
630000197507255264,54,CreditCard
650000195004202501,72,CreditCard
640000196209270957,30,CreditCard
330000196709273545,96,CreditCard
51000019600930165X,98,CreditCard
510000196106220173,29,CreditCard
220000198803024223,100,CreditCard
320000195308110693,36,CreditCard
210000198405206599,17,CreditCard
460000199909267601,78,CreditCard
460000198109280942,26,CreditCard
370000195604217697,36,CreditCard
650000197907251370,54,CreditCard
500000199706049383,47,CreditCard
230000199506234597,80,CreditCard
120000199711101886,46,CreditCard
620000195504106369,83,CreditCard
450000200609133760,14,CreditCard
640000199403030512,78,CreditCard
32000019740610400X,16,CreditCard
310000195711066002,39,CreditCard
340000196406096563,95,CreditCard
210000197206011073,10,CreditCard
140000200407162579,11,CreditCard
110000199311089038,53,CreditCard
110000197306029779,26,CreditCard
540000195001135512,54,CreditCard
530000199801238030,25,CreditCard
630000197701195517,31,CreditCard
320000195204298476,78,CreditCard
330000199009307955,35,CreditCard
150000195005149249,10,CreditCard
320000197909291708,19,CreditCard
650000200107175263,61,CreditCard
330000197502093015,85,CreditCard
370000200206282331,1,CreditCard
110000200301196468,8,CreditCard
370000196210309681,0,CreditCard
370000195902217871,33,CreditCard
230000200603161831,93,CreditCard
620000196104110427,0,CreditCard
450000196708297665,65,CreditCard
230000197704221667,80,CreditCard
310000199812180419,10,CreditCard
140000199407244181,93,CreditCard
140000196108113516,64,CreditCard
360000199107027338,94,CreditCard
410000198609239090,29,CreditCard
220000195004168737,38,CreditCard
450000199108019235,46,CreditCard
210000195003110777,59,CreditCard
110000197107012106,91,CreditCard
420000199010127144,90,CreditCard
500000196807045118,75,CreditCard
440000200301198881,95,CreditCard
36000019560329172X,83,CreditCard
620000199211234349,19,CreditCard
130000198511068361,27,CreditCard
370000199205241233,46,CreditCard
520000199609289012,40,CreditCard
440000199403165487,30,CreditCard
230000199711291208,14,CreditCard
140000197912215059,23,CreditCard
310000198908190596,76,CreditCard
32000019690517194X,0,CreditCard
650000196102124935,48,CreditCard
340000195407290427,4,CreditCard
43000019710607545X,88,CreditCard
110000196705282080,91,CreditCard
320000198903262978,1,CreditCard
220000200005227886,1,CreditCard
500000200006128684,26,CreditCard
640000195807028162,13,CreditCard
210000200607238804,19,CreditCard
540000200204224260,4,CreditCard
330000197806044925,19,CreditCard
210000195706227058,44,CreditCard
430000199207205363,89,CreditCard
440000198911172056,95,CreditCard
420000200311106131,13,CreditCard
650000200512040370,41,CreditCard
150000197811113661,100,CreditCard
120000199802106041,30,CreditCard
63000019920918724X,82,CreditCard
140000195612206311,67,CreditCard
44000019860220996X,25,CreditCard
510000200309234718,65,CreditCard
430000195308142244,0,CreditCard
15000019660602995X,64,CreditCard
230000196302183448,39,CreditCard
440000195504183168,29,CreditCard
520000196012292784,89,CreditCard
420000197308316643,12,CreditCard
450000197102054858,26,CreditCard
110000197106132851,22,CreditCard
340000200601139679,90,CreditCard
530000198710163884,72,CreditCard
620000198105195687,100,CreditCard
500000196706092273,48,CreditCard
350000199812036027,99,CreditCard
620000195904197984,35,CreditCard
610000196907171328,100,CreditCard
110000200612309992,78,CreditCard
320000200602207174,47,CreditCard
630000197310031777,80,CreditCard
350000197809292872,92,CreditCard
370000199612298536,87,CreditCard
310000195306297974,13,CreditCard
320000200010248263,4,CreditCard
150000198012083480,16,CreditCard
460000200301254023,22,CreditCard
650000196106011129,67,CreditCard
610000199101310783,36,CreditCard
650000198002049981,28,CreditCard
500000196905094562,89,CreditCard
510000199005073227,53,CreditCard
210000199005265244,75,CreditCard
450000199201037040,8,CreditCard
620000200105061515,77,CreditCard
520000196507126497,59,CreditCard
450000197703147793,71,CreditCard
44000019991223214X,42,CreditCard
350000198110014881,52,CreditCard
330000198307153937,3,CreditCard
360000199004264533,96,CreditCard
41000019510624197X,29,CreditCard
63000019780201464X,74,CreditCard
610000198308183342,20,CreditCard
330000198606227537,100,CreditCard
130000195201014591,59,CreditCard
450000198809212412,96,CreditCard
410000198905060917,79,CreditCard
620000200508147241,53,CreditCard
220000200507311535,13,CreditCard
150000195602129975,56,CreditCard
450000197502096934,99,CreditCard
43000019610122911X,42,CreditCard
11000019561101526X,51,CreditCard
640000196802085998,92,CreditCard
450000195402107246,13,CreditCard
120000195010234135,42,CreditCard
450000195203202339,25,CreditCard
460000195211291695,33,CreditCard
340000200011082086,12,CreditCard
120000195505076458,98,CreditCard
12000019550705210X,11,CreditCard
320000200106288155,61,CreditCard
420000198009271304,82,CreditCard
130000196904186319,76,CreditCard
330000196807096685,17,CreditCard
350000197006152227,0,CreditCard
610000195112145017,1,CreditCard
610000200611180267,54,CreditCard
610000196111057909,97,CreditCard
370000197003233463,16,CreditCard
610000199905134383,84,CreditCard
540000195603230402,19,CreditCard
120000199201032622,75,CreditCard
360000199503090718,14,CreditCard
370000200506010709,25,CreditCard
650000198611071682,17,CreditCard
14000019600210331X,2,CreditCard
640000195609196288,28,CreditCard
420000197407211628,80,CreditCard
340000195903131265,46,CreditCard
110000195403035733,96,CreditCard
360000195507082821,63,CreditCard
310000195509088275,36,CreditCard
460000200004212943,40,CreditCard
45000019800501607X,2,CreditCard
420000197207139211,96,CreditCard
420000195611272146,49,CreditCard
540000196311182132,61,CreditCard
520000195603299334,70,CreditCard
500000198006244431,66,CreditCard
120000199908055705,1,CreditCard
370000200407282784,100,CreditCard
440000196802208874,52,CreditCard
110000196306104404,87,CreditCard
330000195806290684,17,CreditCard
150000197704204082,69,CreditCard
51000019870320164X,45,CreditCard
530000200604180445,12,CreditCard
320000198108261730,60,CreditCard
51000019820222312X,44,CreditCard
640000198901020873,62,CreditCard
370000198806301671,68,CreditCard
520000195212071359,4,CreditCard
640000198206124267,12,CreditCard
230000196909123943,3,CreditCard
500000198702065533,43,CreditCard
340000197401291794,80,CreditCard
360000196710315517,98,CreditCard
220000198505254434,27,CreditCard
450000197301258263,54,CreditCard
370000196409181670,11,CreditCard
420000197508312321,66,CreditCard
510000196807109355,30,CreditCard
230000200203115799,60,CreditCard
320000195509090457,36,CreditCard
44000019930910096X,26,CreditCard
36000019620528393X,98,CreditCard
430000197205167069,82,CreditCard
62000019910103459X,97,CreditCard
440000200605172621,27,CreditCard
440000195702040096,28,CreditCard
65000019630713415X,99,CreditCard
620000195202098383,85,CreditCard
130000195708310744,62,CreditCard
650000197704226933,54,CreditCard
150000195208201270,45,CreditCard
450000196110191188,38,CreditCard
450000199401275609,65,CreditCard
420000198312115558,63,CreditCard
220000198609103358,86,CreditCard
360000200405163181,88,CreditCard
120000195310264408,78,CreditCard
210000199704289421,39,CreditCard
510000195106257879,43,CreditCard
320000199704161829,3,CreditCard
640000198004184958,100,CreditCard
310000199806135726,6,CreditCard
340000198305172036,53,CreditCard
360000197208151750,47,CreditCard
650000195401152923,4,CreditCard
430000199704270158,62,CreditCard
350000198510150356,61,CreditCard
420000197603203713,22,CreditCard
430000200001302868,62,CreditCard
140000198311208739,8,CreditCard
520000198909104732,82,CreditCard
140000197212189881,14,CreditCard
320000198504242830,1,CreditCard
630000197312166739,45,CreditCard
42000019780709001X,90,CreditCard
640000199510031887,18,CreditCard
540000195203310534,57,CreditCard
420000198410017994,99,CreditCard
450000196310191588,14,CreditCard
500000196505135396,91,CreditCard
130000200105236120,51,CreditCard
11000019680117117X,51,CreditCard
210000197909265061,79,CreditCard
230000196909026019,54,CreditCard
210000198305049418,90,CreditCard
140000196712261304,35,CreditCard
610000198907156506,27,CreditCard
540000195502095854,68,CreditCard
500000198310269094,6,CreditCard
520000199009117575,93,CreditCard
110000195802050930,87,CreditCard
410000198204162822,49,CreditCard
50000019701221084X,41,CreditCard
620000196603116778,71,CreditCard
370000196412058358,55,CreditCard
510000199312197633,60,CreditCard
150000198601086997,8,CreditCard
140000196807210112,16,CreditCard
210000198207145078,78,CreditCard
410000196504021176,2,CreditCard
350000198804222044,3,CreditCard
540000195808249668,6,CreditCard
23000019970923161X,8,CreditCard
530000196703245241,79,CreditCard
450000200408243488,42,CreditCard
330000199212042737,71,CreditCard
360000195407257743,2,CreditCard
440000198401300898,1,CreditCard
420000197501263141,22,CreditCard
370000196403276564,24,CreditCard
120000199112251639,22,CreditCard
340000198209229872,81,CreditCard
120000200211110642,77,CreditCard
360000200312285972,21,CreditCard
13000019820115677X,94,CreditCard
320000197903235764,83,CreditCard
540000198504225871,15,CreditCard
410000196307209778,58,CreditCard
630000195210119297,26,CreditCard
430000198807208053,42,CreditCard
130000197412017783,13,CreditCard
360000195711280067,59,CreditCard
320000197804300081,52,CreditCard
210000199301053000,92,CreditCard
530000197810069663,81,CreditCard
320000196203251232,28,CreditCard
110000199609078905,12,CreditCard
150000195809164495,37,CreditCard
230000199907017171,11,CreditCard
210000195304112872,17,CreditCard
440000199612242514,59,CreditCard
150000197311163849,20,CreditCard
320000196309279030,53,CreditCard
620000197308205342,85,CreditCard
540000196204299124,37,CreditCard
230000200211218800,10,CreditCard
110000197811298216,20,CreditCard
150000198701022894,62,CreditCard
150000197012180737,74,CreditCard
230000198805250197,64,CreditCard
610000195608248204,67,CreditCard
420000196511172281,79,CreditCard
230000195304095180,3,CreditCard
360000197809044213,37,CreditCard
450000195211243501,27,CreditCard
330000197310149467,96,CreditCard
530000197409111562,49,CreditCard
360000200506265515,63,CreditCard
520000198512044209,67,CreditCard
46000020051124742X,13,CreditCard
210000199709132917,15,CreditCard
120000195602296516,37,CreditCard
140000196605196156,24,CreditCard
150000200310245919,79,CreditCard
410000200201187995,24,CreditCard
410000197809303590,77,CreditCard
460000199801293023,89,CreditCard
210000196705028457,10,CreditCard
370000196510010956,81,CreditCard
610000196611065446,26,CreditCard
420000197411246575,47,CreditCard
370000198901170518,67,CreditCard
650000195407119104,3,CreditCard
210000200103137807,38,CreditCard
510000195008217187,89,CreditCard
540000196806089079,93,CreditCard
210000200603098023,95,CreditCard
43000019660214603X,2,CreditCard
21000019540613591X,29,CreditCard
640000196504272947,66,CreditCard
140000196304018364,26,CreditCard
440000196210238826,19,CreditCard
610000195211070065,48,CreditCard
63000019810704565X,13,CreditCard
150000199101086004,85,CreditCard
530000200002018731,43,CreditCard
650000199711178633,12,CreditCard
350000198009241262,6,CreditCard
610000197004192034,73,CreditCard
46000019720826218X,29,CreditCard
510000200501077185,61,CreditCard
510000196701093703,26,CreditCard
130000196605199363,85,CreditCard
34000019500713576X,96,CreditCard
32000019540625165X,51,CreditCard
130000197305287948,87,CreditCard
110000197102212125,12,CreditCard
440000200111262352,16,CreditCard
420000198705065029,92,CreditCard
520000200603284013,72,CreditCard
640000198006053273,5,CreditCard
450000196809179975,94,CreditCard
370000196710013457,54,CreditCard
330000198205046479,32,CreditCard
440000196403209896,66,CreditCard
410000195605230212,72,CreditCard
610000197607277504,57,CreditCard
610000198101095185,77,CreditCard
430000197505126445,41,CreditCard
640000196109045381,6,CreditCard
46000019620812126X,53,CreditCard
310000199503314372,99,CreditCard
140000200410191864,59,CreditCard
630000196503017731,59,CreditCard
360000198408100944,34,CreditCard
630000200412069017,59,CreditCard
510000198507050661,93,CreditCard
140000199810126185,57,CreditCard
150000200004211024,4,CreditCard
510000198808090448,82,CreditCard
540000200003278035,58,CreditCard
230000196512070564,75,CreditCard
420000199304153866,76,CreditCard
540000198204035953,88,CreditCard
630000196903118726,16,CreditCard
210000196811142616,43,CreditCard
33000019730309180X,58,CreditCard
370000195608301247,49,CreditCard
650000199010283844,11,CreditCard
370000197310060857,25,CreditCard
630000196201245835,21,CreditCard
310000199301115746,36,CreditCard
210000196202093257,81,CreditCard
420000195809019971,63,CreditCard
52000019590420997X,10,CreditCard
120000197908185252,58,CreditCard
430000197704209366,37,CreditCard
110000196810125773,91,CreditCard
110000199004014300,69,CreditCard
500000198208084069,0,CreditCard
520000198205124006,33,CreditCard
540000197704031006,7,CreditCard
15000019991130128X,24,CreditCard
63000020010505101X,48,CreditCard
350000196401232329,81,CreditCard
360000198204204231,86,CreditCard
110000195806068759,65,CreditCard
500000196310187305,22,CreditCard
210000196309028615,76,CreditCard
