用户（身份证）,信用评级,平台类型
520000196810244007,81,AliPay
450000198605030852,28,AliPay
140000196810182749,53,AliPay
610000200405312273,19,AliPay
63000019661202077X,10,AliPay
50000020061124099X,59,AliPay
460000195003205713,77,AliPay
610000199310275769,0,AliPay
340000198501274355,34,AliPay
54000019550707725X,25,AliPay
110000198306195640,49,AliPay
360000196312107157,30,AliPay
21000019810728250X,37,AliPay
650000198704266577,63,AliPay
370000196012251570,81,AliPay
62000019660525105X,25,AliPay
330000199103075978,29,AliPay
420000195903311792,52,AliPay
310000195103225110,26,AliPay
110000199604119763,25,AliPay
420000199505248298,85,AliPay
620000195906244895,73,AliPay
500000198008232848,73,AliPay
340000195706277871,49,AliPay
500000195111239972,66,AliPay
630000195108252323,43,AliPay
450000197402288488,90,AliPay
110000199106014782,80,AliPay
350000199312079231,3,AliPay
450000196703256186,45,AliPay
230000198907202276,40,AliPay
620000196903280203,29,AliPay
530000197506034773,54,AliPay
340000196110176716,40,AliPay
320000199806261839,100,AliPay
420000196712031506,17,AliPay
640000199212048023,81,AliPay
220000197807281126,29,AliPay
630000197011252561,44,AliPay
130000195605169725,74,AliPay
610000195402083344,81,AliPay
120000197712129726,74,AliPay
230000197212158825,12,AliPay
540000197808283195,22,AliPay
620000198002222398,72,AliPay
140000196911079142,0,AliPay
140000199507198581,16,AliPay
620000199010115044,37,AliPay
640000198108055755,16,AliPay
430000198507249996,39,AliPay
320000197401215325,27,AliPay
520000198003108040,39,AliPay
62000019520624910X,92,AliPay
360000198908152046,18,AliPay
360000195710080805,90,AliPay
440000199911165061,85,AliPay
210000197602176400,26,AliPay
430000199909049086,72,AliPay
330000198310262536,3,AliPay
330000198809191693,83,AliPay
420000197007185184,77,AliPay
330000197602147228,83,AliPay
330000199012155411,9,AliPay
310000200209240638,31,AliPay
520000198603151923,96,AliPay
450000199908076465,10,AliPay
340000200205207027,29,AliPay
350000197705120427,99,AliPay
540000199408022606,70,AliPay
340000195502096761,74,AliPay
360000198704182710,54,AliPay
510000198802222921,57,AliPay
510000198803300178,70,AliPay
150000197209163332,66,AliPay
650000196112107805,75,AliPay
330000199107063501,73,AliPay
340000199608297121,57,AliPay
220000200112201462,9,AliPay
430000198908181400,44,AliPay
210000198607268704,94,AliPay
430000199405285624,0,AliPay
310000199712050940,40,AliPay
450000195803289239,68,AliPay
220000199302025652,91,AliPay
230000198802144911,95,AliPay
150000198111193730,58,AliPay
430000200103184671,5,AliPay
370000196605209159,56,AliPay
640000197012180039,62,AliPay
520000200504217798,10,AliPay
520000200407275486,52,AliPay
330000195904053519,54,AliPay
460000199906230184,57,AliPay
220000199502254599,47,AliPay
500000197512033640,24,AliPay
220000196809102131,70,AliPay
520000198904114253,85,AliPay
210000197001241035,74,AliPay
44000019941026706X,87,AliPay
510000197603015896,100,AliPay
520000196810244007,6,AliPay
450000198605030852,23,AliPay
140000196810182749,59,AliPay
610000200405312273,22,AliPay
63000019661202077X,70,AliPay
50000020061124099X,80,AliPay
460000195003205713,21,AliPay
