ID_JD,Total_Count_JD,Refund_Only_Count_JD,Rental_Not_Returned_Count_JD,Partial_Payment_After_Receipt_Count_JD,Payment_Without_Delivery_Count_JD,Amount_of_Loss_JD,level_JD
320000199904289907,46,0,0,4,6,5504.4800000000005,4
520000195807050987,37,0,0,1,5,3420.6,4
320000197609225573,41,0,0,0,4,1558.16,4
350000200204024802,40,0,0,1,4,2560.2,4
500000197005063909,48,0,0,1,6,3768.79,4
330000196312177950,33,0,0,0,6,2984.4700000000003,4
370000197208051102,39,0,0,3,6,2771.16,3
510000199510105103,46,0,0,0,2,543.14,4
370000196207055369,40,0,0,3,3,3733.0100000000007,3
630000198603263402,31,0,0,0,4,1715.0,4
610000197208244924,31,0,0,0,4,1524.15,3
540000198311279216,33,0,0,2,4,2851.8700000000003,3
230000196010232148,37,0,0,6,2,3687.95,3
620000200604094506,42,0,0,1,0,78.3,3
230000195306010101,42,0,0,1,4,1924.07,3
460000198312245552,27,0,0,0,2,764.87,4
360000197010015745,39,0,0,1,5,3749.13,3
64000019600402703X,30,0,0,0,5,2093.73,4
310000196708123162,33,0,0,1,0,430.04,4
650000195702273286,49,0,0,1,5,3051.44,3
310000195112154051,36,0,0,0,3,1392.47,4
620000197110131149,42,0,0,1,3,1630.21,4
35000019710129790X,34,0,0,0,6,3846.04,4
120000196902221393,32,0,0,2,6,4250.500000000001,3
610000198705208195,35,0,0,0,5,1831.22,3
530000200002018731,29,0,0,0,0,0.0,1
610000199508085792,38,0,0,4,3,4363.48,3
120000198709283284,35,0,0,2,7,3686.28,4
140000198001054711,40,0,0,1,4,2305.16,4
430000199105238121,38,0,0,1,5,2159.19,3
330000195003168706,38,0,0,1,6,3308.11,3
520000197408048731,44,0,0,0,2,1169.68,3
540000197810175652,25,0,0,0,5,2497.6,4
340000196409290345,41,0,0,0,4,2238.52,3
11000019931210640X,32,0,0,0,2,1225.09,4
220000195302069577,28,0,0,0,2,1263.36,3
650000198205222860,29,0,0,1,4,2334.46,4
43000019710607545X,32,0,0,2,4,3123.23,4
