用户（身份证）,信用评级,平台类型
410000198507129368,11,WeChat
520000197305235462,0,WeChat
210000198309060403,88,WeChat
530000198001264922,79,WeChat
650000197311117787,10,WeChat
21000020020220573X,24,WeChat
420000200011293051,22,WeChat
210000196511072118,31,WeChat
510000195010154496,33,WeChat
120000197111292317,56,WeChat
500000198508027322,54,WeChat
520000199803029142,18,WeChat
340000198111142533,39,WeChat
650000195602209287,92,WeChat
110000198811087544,1,WeChat
360000196902230112,49,WeChat
360000197701174622,55,WeChat
530000200603315432,53,WeChat
130000195802176449,83,WeChat
640000197210079097,28,WeChat
210000196512081198,78,WeChat
540000195202033184,21,WeChat
630000198802067447,18,WeChat
610000198002165221,94,WeChat
540000200203235005,86,WeChat
210000197004016810,86,WeChat
510000198605050227,81,WeChat
620000197402163804,41,WeChat
330000199204112467,22,WeChat
370000196910029197,85,WeChat
230000195010162237,39,WeChat
510000200110206795,59,WeChat
120000196910127823,47,WeChat
650000196308286796,31,WeChat
220000197209199413,77,WeChat
450000198801089405,24,WeChat
420000196607096703,93,WeChat
130000199005022672,16,WeChat
310000196709026989,3,WeChat
61000019980127666X,67,WeChat
220000197302200212,98,WeChat
530000199710237112,60,WeChat
460000198508210247,28,WeChat
110000200509133634,97,WeChat
34000020020803036X,80,WeChat
220000198405113861,4,WeChat
340000197411163841,59,WeChat
410000199611146824,6,WeChat
110000199008198426,30,WeChat
330000197909079397,45,WeChat
450000199504167483,77,WeChat
460000199910252837,62,WeChat
450000198112242013,53,WeChat
440000195107112067,57,WeChat
650000198001181091,18,WeChat
500000196906276982,36,WeChat
310000196611132476,7,WeChat
500000196907251912,72,WeChat
620000198703051691,86,WeChat
500000196508048490,96,WeChat
630000196601076807,80,WeChat
340000199708255324,47,WeChat
61000019540301536X,31,WeChat
360000200308190196,6,WeChat
420000196306199776,71,WeChat
41000019860203157X,14,WeChat
110000196211086303,97,WeChat
530000195012118660,3,WeChat
440000195808295425,5,WeChat
65000019621123851X,64,WeChat
210000197011013634,48,WeChat
64000019630210235X,87,WeChat
210000195309227265,71,WeChat
320000199304073061,8,WeChat
410000200608034413,31,WeChat
530000196401199032,72,WeChat
460000197504159187,17,WeChat
320000200006168981,61,WeChat
620000199904124572,20,WeChat
450000197102163421,24,WeChat
420000198910140753,14,WeChat
220000196603239394,5,WeChat
640000196306196154,70,WeChat
640000196704079076,31,WeChat
430000200601144840,79,WeChat
220000196001049235,49,WeChat
610000196211050800,45,WeChat
65000019720204702X,0,WeChat
130000200509225129,86,WeChat
330000197410148453,98,WeChat
410000198301154031,53,WeChat
340000198007131340,2,WeChat
37000019681014581X,48,WeChat
610000196804082891,30,WeChat
45000019751108920X,70,WeChat
530000196810041172,45,WeChat
320000200602288664,20,WeChat
35000019860303512X,22,WeChat
450000195906255189,72,WeChat
430000196605191944,98,WeChat
150000197007179862,81,WeChat
150000200409177434,89,WeChat
510000199502252234,86,WeChat
220000197309154546,81,WeChat
620000197202114178,32,WeChat
540000198208220339,62,WeChat
220000197605106370,7,WeChat
220000198704069768,41,WeChat
450000197004215232,3,WeChat
540000199712160544,78,WeChat
210000197008128529,81,WeChat
410000199612057591,2,WeChat
630000198103053003,100,WeChat
410000198907038553,12,WeChat
340000195305065077,34,WeChat
140000196708140219,18,WeChat
410000197808127521,37,WeChat
120000199807129672,45,WeChat
210000199403278358,8,WeChat
64000019840928149X,37,WeChat
110000195212075433,25,WeChat
13000019660218676X,93,WeChat
430000196312245005,49,WeChat
52000019901116459X,33,WeChat
650000199707234655,0,WeChat
450000199608049182,8,WeChat
320000197009076885,22,WeChat
420000197203280672,22,WeChat
650000199612076615,15,WeChat
520000195312284845,8,WeChat
210000200001036677,48,WeChat
31000019540704014X,34,WeChat
450000199603187500,68,WeChat
620000199410308830,63,WeChat
12000019780114301X,37,WeChat
150000196211153139,9,WeChat
420000196309158785,4,WeChat
630000197710146178,68,WeChat
430000200104282812,6,WeChat
640000198012034597,82,WeChat
350000198810212184,81,WeChat
360000196905087622,59,WeChat
510000199207214606,29,WeChat
360000199610225729,94,WeChat
130000199611266159,12,WeChat
450000200103203215,33,WeChat
630000199512158054,59,WeChat
530000195905054553,22,WeChat
140000199409045039,39,WeChat
130000199011079333,95,WeChat
450000200002055815,93,WeChat
340000196101261580,90,WeChat
310000195807208562,7,WeChat
540000196701228538,64,WeChat
340000199012114312,30,WeChat
510000196011151910,68,WeChat
340000196905293094,77,WeChat
410000195912023133,66,WeChat
510000197712206018,15,WeChat
140000197911309811,27,WeChat
410000200108317433,6,WeChat
540000195111010788,69,WeChat
320000195604189965,7,WeChat
360000197405303821,86,WeChat
610000198811237002,25,WeChat
440000198205215549,21,WeChat
310000195709214416,49,WeChat
140000200009283260,71,WeChat
420000198607277618,69,WeChat
150000196810147478,15,WeChat
220000196109059697,52,WeChat
360000196811197927,67,WeChat
420000195407061368,98,WeChat
520000197405318409,78,WeChat
310000196407209261,58,WeChat
630000195512189098,33,WeChat
460000197811148760,45,WeChat
460000197807242869,52,WeChat
140000195508086700,85,WeChat
310000197611145853,45,WeChat
120000195511264092,33,WeChat
220000197205239457,89,WeChat
210000197907249164,85,WeChat
320000199710232005,86,WeChat
370000198604219514,84,WeChat
120000197512185387,39,WeChat
52000019911002834X,59,WeChat
230000195610259593,43,WeChat
650000199908304285,56,WeChat
540000196004263143,51,WeChat
330000195309253735,79,WeChat
500000198406130206,76,WeChat
450000197003082757,73,WeChat
520000198710191787,29,WeChat
110000200008231551,57,WeChat
220000198603140721,59,WeChat
46000020011211753X,87,WeChat
430000195205196397,100,WeChat
340000199410024267,14,WeChat
220000199409283379,81,WeChat
520000195610203951,64,WeChat
450000197403279292,15,WeChat
430000198307135054,1,WeChat
330000195210156417,63,WeChat
110000199304229194,11,WeChat
120000200611172455,50,WeChat
610000197004036998,40,WeChat
220000195910175381,78,WeChat
650000195103303527,95,WeChat
120000199908295549,62,WeChat
340000197102139274,0,WeChat
420000199406161015,29,WeChat
330000195105272598,51,WeChat
210000199111055603,22,WeChat
650000195807117538,59,WeChat
230000196712190894,46,WeChat
120000198810141256,65,WeChat
350000200505137720,2,WeChat
43000019590121064X,80,WeChat
110000197011238864,80,WeChat
530000199410237129,48,WeChat
330000200409142905,78,WeChat
330000198604135727,72,WeChat
520000197707286983,56,WeChat
450000198109064615,19,WeChat
410000199112148593,92,WeChat
360000198304177031,88,WeChat
510000195001204762,98,WeChat
520000199203060410,60,WeChat
330000197106120958,47,WeChat
370000197608072594,36,WeChat
530000198711208538,15,WeChat
43000019990903743X,40,WeChat
620000195701081367,5,WeChat
430000198005251092,30,WeChat
510000196602086735,99,WeChat
500000199108255785,26,WeChat
430000199110149430,64,WeChat
610000199702131991,28,WeChat
540000198910035723,72,WeChat
450000200203169544,43,WeChat
23000019660522653X,100,WeChat
410000195908123529,4,WeChat
520000198002027919,79,WeChat
640000200003017672,10,WeChat
420000198501176376,90,WeChat
610000195711088675,56,WeChat
610000196905223729,93,WeChat
140000199904155059,9,WeChat
440000199909278286,1,WeChat
520000197501119813,34,WeChat
210000195801033665,15,WeChat
620000197212095337,91,WeChat
13000020020607102X,61,WeChat
350000196901295182,22,WeChat
410000198801248974,90,WeChat
350000197705287702,92,WeChat
110000197811182862,35,WeChat
310000199407223278,13,WeChat
110000200105062833,58,WeChat
330000196003168209,28,WeChat
460000199804063581,8,WeChat
360000199311205330,26,WeChat
51000019530425808X,26,WeChat
530000200101204150,91,WeChat
140000196003264473,22,WeChat
220000198212111245,11,WeChat
430000197105252151,17,WeChat
150000198605288000,47,WeChat
150000196512152500,24,WeChat
210000200002192778,33,WeChat
340000198708143088,87,WeChat
340000195710285196,91,WeChat
510000195702229655,10,WeChat
460000197303147913,29,WeChat
320000200209077967,72,WeChat
650000195611090599,69,WeChat
120000199207023313,24,WeChat
330000200411148556,73,WeChat
130000197110164382,45,WeChat
220000198012152595,9,WeChat
420000198407154197,72,WeChat
530000198506297412,78,WeChat
230000196407258768,37,WeChat
420000196209154007,76,WeChat
140000196402046000,71,WeChat
460000198705232533,15,WeChat
230000200203043254,57,WeChat
330000198703310594,83,WeChat
110000198206240520,21,WeChat
650000199311218595,88,WeChat
650000199202273923,56,WeChat
410000197308274883,99,WeChat
540000199912018956,66,WeChat
320000200609296712,78,WeChat
430000196612270798,79,WeChat
45000019771113495X,52,WeChat
540000196407273506,32,WeChat
310000197611143516,98,WeChat
650000197803302938,7,WeChat
370000195901168713,59,WeChat
330000200306304115,97,WeChat
370000199105270950,35,WeChat
120000196608114343,26,WeChat
130000195411012455,75,WeChat
610000197310011588,67,WeChat
220000196909261244,59,WeChat
510000199405187397,81,WeChat
520000198202015859,31,WeChat
220000195410147245,5,WeChat
440000198502121389,19,WeChat
460000199109148989,81,WeChat
210000199205114109,74,WeChat
500000199108090634,23,WeChat
510000198706293009,53,WeChat
130000197309165956,10,WeChat
530000195805016648,36,WeChat
110000196705179147,9,WeChat
460000200401010376,50,WeChat
42000019940308080X,43,WeChat
340000195811082937,12,WeChat
350000199901284014,83,WeChat
140000196611026225,37,WeChat
340000196410097470,61,WeChat
340000199310133052,16,WeChat
150000199609116091,26,WeChat
360000198307010931,22,WeChat
330000196009236348,86,WeChat
460000199801200878,97,WeChat
210000198602210474,44,WeChat
220000199406088658,53,WeChat
650000197810272343,3,WeChat
510000197607224118,97,WeChat
370000199506276122,9,WeChat
520000196007088113,76,WeChat
220000196002251339,95,WeChat
330000196901225076,91,WeChat
640000198011162976,77,WeChat
640000198904081698,99,WeChat
610000198409154655,96,WeChat
640000198205167150,51,WeChat
360000197101101593,8,WeChat
220000197408302997,21,WeChat
450000197106203785,72,WeChat
650000195210289353,45,WeChat
410000197110179776,13,WeChat
540000197005078382,49,WeChat
520000198710011475,80,WeChat
500000200512035958,32,WeChat
500000199411167921,76,WeChat
220000197708263686,33,WeChat
440000198703061992,54,WeChat
210000200503022021,74,WeChat
500000200509101256,75,WeChat
410000197201249477,49,WeChat
330000199801214509,49,WeChat
330000199903107472,35,WeChat
120000200307137620,81,WeChat
310000195507129483,99,WeChat
620000195307065393,62,WeChat
520000195008146552,41,WeChat
440000197109194886,84,WeChat
540000196906141823,41,WeChat
210000197401311127,53,WeChat
410000198411127413,9,WeChat
320000200112170452,2,WeChat
630000199105152587,5,WeChat
210000195009125785,74,WeChat
61000019621205749X,97,WeChat
450000198506253452,25,WeChat
150000195109120600,84,WeChat
460000198303071036,47,WeChat
650000195004298005,21,WeChat
350000199509034520,59,WeChat
500000198605185971,24,WeChat
110000197101046030,50,WeChat
220000195008260709,4,WeChat
130000200505064073,18,WeChat
110000199707174917,42,WeChat
530000198910088209,14,WeChat
350000197411220019,96,WeChat
360000196702265505,66,WeChat
110000196911012778,87,WeChat
42000019521118522X,88,WeChat
350000198211075712,78,WeChat
450000199208270099,30,WeChat
230000199806220883,86,WeChat
520000195605022734,76,WeChat
540000197003262135,65,WeChat
370000197512235352,4,WeChat
420000199809102458,73,WeChat
410000195606171795,58,WeChat
340000195602150593,19,WeChat
330000199001163889,96,WeChat
150000196810260550,16,WeChat
32000019740628379X,63,WeChat
350000197410136106,18,WeChat
650000196410084891,90,WeChat
360000196205197337,83,WeChat
330000197501252635,12,WeChat
650000200406134947,71,WeChat
640000200005220025,66,WeChat
420000197402253482,36,WeChat
220000196703011629,22,WeChat
320000199309049220,49,WeChat
320000199502169160,23,WeChat
360000199402183050,36,WeChat
430000198512148209,13,WeChat
130000197003246462,93,WeChat
620000200608247848,45,WeChat
500000197703134882,29,WeChat
440000195504053240,11,WeChat
610000196002054776,59,WeChat
110000198011288954,18,WeChat
430000195601120183,76,WeChat
420000195506036803,3,WeChat
360000197412290424,13,WeChat
320000195207317214,2,WeChat
62000019940222854X,18,WeChat
13000019820830793X,72,WeChat
33000019761211899X,84,WeChat
360000195904140159,100,WeChat
130000196901243920,95,WeChat
520000198701044400,43,WeChat
14000019921225438X,89,WeChat
52000020020813121X,21,WeChat
210000196001146949,55,WeChat
14000019810110478X,68,WeChat
430000196008021891,76,WeChat
130000198809250545,36,WeChat
630000196302171070,24,WeChat
360000199902139873,17,WeChat
510000197106238001,11,WeChat
310000198501166201,11,WeChat
610000199106084068,2,WeChat
140000199209235743,10,WeChat
540000198803198703,52,WeChat
230000198011099851,85,WeChat
110000198601079693,16,WeChat
440000196203260259,87,WeChat
510000198201103716,49,WeChat
110000198106281747,46,WeChat
610000198908281982,25,WeChat
320000198203048831,28,WeChat
620000195608062663,39,WeChat
420000196405272158,81,WeChat
510000199309289561,33,WeChat
23000019980629927X,70,WeChat
410000196110162283,0,WeChat
210000196210090259,21,WeChat
150000196304209859,96,WeChat
52000019670906348X,80,WeChat
370000195402139643,22,WeChat
630000199208121724,6,WeChat
340000199508312427,80,WeChat
610000195411145148,36,WeChat
420000197005211246,58,WeChat
510000196709238620,81,WeChat
500000199801128661,16,WeChat
430000200105082636,26,WeChat
120000195701114888,88,WeChat
310000198704089285,82,WeChat
460000197606083398,30,WeChat
360000200602279538,7,WeChat
450000195911067545,69,WeChat
330000195903011827,6,WeChat
230000196709112561,56,WeChat
140000198012239973,60,WeChat
650000195805071433,45,WeChat
450000195703115071,20,WeChat
420000195708142989,65,WeChat
420000198203137934,7,WeChat
320000199202125502,37,WeChat
430000195610160945,0,WeChat
140000195206280065,95,WeChat
530000197712098209,62,WeChat
450000197808181429,27,WeChat
130000196203300019,68,WeChat
500000197303102160,5,WeChat
130000200101176458,58,WeChat
65000019540529278X,40,WeChat
500000196102283482,75,WeChat
360000199801057078,31,WeChat
430000195802229820,11,WeChat
510000197408183237,64,WeChat
230000195608181467,26,WeChat
50000019930904831X,84,WeChat
630000198210232541,68,WeChat
360000199011131501,81,WeChat
420000197503072816,87,WeChat
330000196311172330,92,WeChat
340000195312209120,43,WeChat
370000197505077341,7,WeChat
420000197608228207,68,WeChat
63000019631224515X,47,WeChat
640000199610149364,48,WeChat
640000200503020720,8,WeChat
440000196807024003,44,WeChat
12000019760428397X,29,WeChat
12000019930216080X,76,WeChat
64000019900812579X,6,WeChat
330000198001083649,44,WeChat
620000195101307908,85,WeChat
630000195601275721,73,WeChat
500000200002120511,7,WeChat
650000195107304412,21,WeChat
540000196010234437,71,WeChat
53000019631115472X,58,WeChat
310000198906158963,12,WeChat
420000195512063736,25,WeChat
540000198006227858,17,WeChat
360000198602039278,38,WeChat
420000200603286656,100,WeChat
440000197303176956,30,WeChat
65000019840926144X,18,WeChat
310000196406251011,41,WeChat
500000198305214865,19,WeChat
430000197702220895,31,WeChat
140000196604138771,1,WeChat
340000198602065552,73,WeChat
500000195112283588,30,WeChat
220000199909220999,51,WeChat
310000195707271396,51,WeChat
340000197001130879,38,WeChat
410000198709222085,44,WeChat
140000198602059243,60,WeChat
64000019800120479X,48,WeChat
360000198905180121,34,WeChat
130000200406155527,62,WeChat
52000019961226895X,36,WeChat
620000196702283483,46,WeChat
44000019970705345X,54,WeChat
640000198102015373,90,WeChat
510000197202089317,94,WeChat
320000196105132985,60,WeChat
370000195206044364,1,WeChat
450000199101143276,57,WeChat
640000197010086946,56,WeChat
530000199012174492,51,WeChat
630000196904038525,21,WeChat
520000197512276515,27,WeChat
460000195703117554,53,WeChat
130000197004057962,82,WeChat
320000196202278257,1,WeChat
340000195305019281,2,WeChat
440000195201304102,68,WeChat
610000197308138547,52,WeChat
120000199604129904,70,WeChat
510000197001058143,13,WeChat
230000197505110083,6,WeChat
540000199112120207,58,WeChat
620000200407162901,81,WeChat
460000198712117090,75,WeChat
510000198303035718,34,WeChat
310000197406112681,19,WeChat
430000196105097783,10,WeChat
340000198405010149,31,WeChat
420000200609040315,39,WeChat
360000195404269503,27,WeChat
460000200207149534,54,WeChat
21000019950811179X,32,WeChat
130000195603197159,96,WeChat
330000199502073013,4,WeChat
350000195007241580,49,WeChat
50000019730128671X,59,WeChat
420000200408025653,91,WeChat
420000196312050919,72,WeChat
310000200105091295,45,WeChat
140000197711142615,23,WeChat
530000197911093646,79,WeChat
64000020060618703X,71,WeChat
500000196206304532,77,WeChat
610000199310150771,25,WeChat
360000199607161867,4,WeChat
120000196301160476,6,WeChat
640000199712131464,61,WeChat
410000199401077314,51,WeChat
440000197909262082,87,WeChat
120000197110249421,83,WeChat
650000200001272778,39,WeChat
620000195003180894,63,WeChat
500000195302127076,85,WeChat
15000019790328410X,93,WeChat
220000199010208297,85,WeChat
530000198302153847,84,WeChat
460000197402228663,93,WeChat
500000198512105629,97,WeChat
310000198102197270,79,WeChat
630000198607186985,19,WeChat
130000199010121456,92,WeChat
320000198004162826,59,WeChat
350000199107272534,46,WeChat
12000020060322936X,23,WeChat
140000198303133327,18,WeChat
110000198908237342,94,WeChat
340000199803269396,80,WeChat
610000197911106865,15,WeChat
350000197712206819,68,WeChat
150000198903238888,38,WeChat
230000197005284845,94,WeChat
350000196003282910,71,WeChat
340000199702073378,77,WeChat
360000197909185996,44,WeChat
51000019601017140X,3,WeChat
440000195406236182,53,WeChat
530000199511104616,36,WeChat
13000019691101235X,7,WeChat
110000199706099812,85,WeChat
340000198411302981,30,WeChat
23000019890814758X,37,WeChat
370000195201273184,87,WeChat
620000198510170782,99,WeChat
420000199311204262,12,WeChat
460000196211240083,23,WeChat
210000199102090941,54,WeChat
420000199203102541,42,WeChat
44000019730903596X,98,WeChat
620000195010269467,73,WeChat
130000198108283950,60,WeChat
520000198006058480,0,WeChat
15000019631216171X,86,WeChat
500000197612121402,47,WeChat
650000195301039245,37,WeChat
650000195609147074,23,WeChat
500000198404098097,40,WeChat
320000198306257011,82,WeChat
650000197012066553,26,WeChat
120000199811059531,14,WeChat
460000195610119104,74,WeChat
630000196106171786,59,WeChat
310000199806101796,23,WeChat
310000196207290675,30,WeChat
650000198707234968,60,WeChat
440000197803046533,30,WeChat
110000196206213718,61,WeChat
520000195707047879,36,WeChat
37000020061011441X,93,WeChat
410000199704284732,44,WeChat
530000197405188183,78,WeChat
610000197504246406,76,WeChat
130000197110285117,39,WeChat
420000196101228756,24,WeChat
220000199106099638,100,WeChat
610000197501214310,39,WeChat
110000200506068232,18,WeChat
330000197502075132,47,WeChat
13000019781124158X,26,WeChat
150000200402041219,35,WeChat
23000019830823660X,80,WeChat
650000199806141155,43,WeChat
310000199303042982,13,WeChat
220000198607105093,81,WeChat
42000019690930706X,34,WeChat
520000199102152906,47,WeChat
340000199111168551,73,WeChat
630000198312057027,2,WeChat
450000199512060184,86,WeChat
120000200412037541,31,WeChat
110000195503076591,46,WeChat
520000199305287157,6,WeChat
430000195607291848,10,WeChat
350000199903209173,56,WeChat
640000198801089654,24,WeChat
310000200211137277,71,WeChat
320000199708053737,14,WeChat
450000199406015320,85,WeChat
130000195703275652,71,WeChat
430000196412165387,1,WeChat
340000198804130607,38,WeChat
410000199302144593,7,WeChat
430000197011269585,3,WeChat
520000195603191155,61,WeChat
540000199112215759,90,WeChat
620000199412124912,85,WeChat
350000199811265813,84,WeChat
530000197502040009,63,WeChat
450000198612254862,34,WeChat
360000200206141879,37,WeChat
410000197806175968,15,WeChat
310000197407128191,20,WeChat
640000196810110882,9,WeChat
350000196612145145,12,WeChat
230000199507309511,77,WeChat
220000196703086962,21,WeChat
440000197510240703,42,WeChat
340000196706173137,7,WeChat
640000197403289621,25,WeChat
650000200011146732,44,WeChat
510000199503017893,99,WeChat
650000196306020396,9,WeChat
140000196710205317,95,WeChat
500000199405042030,21,WeChat
530000197006040093,100,WeChat
620000199408243871,82,WeChat
650000196107255758,84,WeChat
140000197610030235,12,WeChat
630000195405283898,30,WeChat
510000200306248647,70,WeChat
37000019740330315X,24,WeChat
220000197412142631,23,WeChat
130000196601173043,40,WeChat
210000199405155642,15,WeChat
350000195902145667,2,WeChat
130000196807013459,31,WeChat
440000200402227346,25,WeChat
510000195208268421,88,WeChat
350000196112027126,87,WeChat
350000196112115580,74,WeChat
610000195610068560,58,WeChat
210000197511189919,72,WeChat
630000200107185345,11,WeChat
510000195305159403,32,WeChat
610000196305087970,61,WeChat
52000020061117085X,70,WeChat
330000196604174524,99,WeChat
630000195504035590,58,WeChat
220000195206280209,99,WeChat
520000198704053863,17,WeChat
150000198312305188,15,WeChat
130000196812218694,50,WeChat
500000195008288944,8,WeChat
230000195406293436,78,WeChat
650000199303199080,90,WeChat
420000197510084217,51,WeChat
210000197801295816,12,WeChat
410000199708070686,70,WeChat
450000199303180200,84,WeChat
130000195601184194,81,WeChat
530000196212088464,10,WeChat
210000197609063695,90,WeChat
520000196503132611,61,WeChat
530000197401231519,57,WeChat
220000199512314516,67,WeChat
360000197111260766,48,WeChat
51000019840629988X,38,WeChat
610000195308275016,50,WeChat
460000199411284551,33,WeChat
320000196911092447,84,WeChat
33000020011226600X,79,WeChat
370000198304159548,66,WeChat
140000197305213799,67,WeChat
460000197911014815,22,WeChat
220000200211188574,51,WeChat
360000198804116809,6,WeChat
150000195710284681,52,WeChat
650000197805277844,85,WeChat
610000200404110944,49,WeChat
220000198011108568,79,WeChat
630000199503207694,38,WeChat
210000197312206472,87,WeChat
410000195911119352,94,WeChat
220000200208277701,7,WeChat
340000197408192684,96,WeChat
500000197910164806,16,WeChat
220000199912235235,34,WeChat
430000199402263809,66,WeChat
31000019530117932X,33,WeChat
320000197806291000,30,WeChat
530000197202065642,66,WeChat
530000196610266545,85,WeChat
120000200102176941,24,WeChat
330000195004019761,57,WeChat
530000196901166851,1,WeChat
110000196905068361,88,WeChat
450000196811146048,25,WeChat
350000196104168439,7,WeChat
640000198901239824,57,WeChat
500000196601216348,93,WeChat
330000196006220180,16,WeChat
330000196806303021,33,WeChat
630000196101218055,3,WeChat
370000195610217378,57,WeChat
220000199208085448,3,WeChat
230000196903280614,13,WeChat
500000199908198969,10,WeChat
530000198801273536,74,WeChat
510000199108167269,89,WeChat
510000200512116207,82,WeChat
210000195206256610,68,WeChat
450000199907111492,28,WeChat
650000200403195648,42,WeChat
340000196501144981,52,WeChat
460000199502029898,20,WeChat
130000199907082439,30,WeChat
230000198908288817,64,WeChat
630000198709298806,5,WeChat
210000198012267972,41,WeChat
220000195505153357,96,WeChat
350000196912218131,41,WeChat
54000019521214286X,99,WeChat
320000199701222075,43,WeChat
450000196502044777,50,WeChat
430000200308157829,24,WeChat
610000198707185177,29,WeChat
34000020061011641X,9,WeChat
430000195902101779,15,WeChat
410000197804087331,58,WeChat
430000197205177216,26,WeChat
110000197905250678,35,WeChat
44000020020912357X,78,WeChat
360000195002196604,59,WeChat
410000199709258760,93,WeChat
540000198609098514,3,WeChat
410000197010187357,66,WeChat
540000200408106039,46,WeChat
420000197105144642,9,WeChat
13000019790107296X,41,WeChat
41000019750324337X,92,WeChat
140000197903146602,5,WeChat
610000196412273293,85,WeChat
500000196201205228,41,WeChat
520000197906280541,3,WeChat
320000199511302269,84,WeChat
36000020000330595X,52,WeChat
370000196002073627,93,WeChat
460000197512220806,31,WeChat
340000200205050103,2,WeChat
530000200309107288,59,WeChat
63000019670203733X,7,WeChat
510000198209088848,32,WeChat
610000200001141500,54,WeChat
520000196108048903,42,WeChat
54000019971001894X,24,WeChat
37000019720128152X,46,WeChat
23000019801120472X,39,WeChat
440000195904194122,73,WeChat
21000019500812916X,95,WeChat
120000195811197709,39,WeChat
460000196708103631,39,WeChat
130000196409018406,76,WeChat
410000198612287579,4,WeChat
220000197004219855,71,WeChat
650000199304278450,66,WeChat
410000196101139890,47,WeChat
130000195011293235,22,WeChat
110000196212133503,93,WeChat
640000195009222921,63,WeChat
440000197902029501,80,WeChat
220000195208140445,70,WeChat
330000195505244748,1,WeChat
130000200510264889,73,WeChat
130000195809011356,96,WeChat
460000195806070445,90,WeChat
350000199812019016,97,WeChat
210000199407198750,31,WeChat
530000200008010650,36,WeChat
430000196902244264,9,WeChat
640000198005136982,62,WeChat
440000197102074443,36,WeChat
11000019810214223X,9,WeChat
630000196506254724,86,WeChat
650000200306231918,93,WeChat
320000199712221254,63,WeChat
370000196312022905,15,WeChat
44000019781007660X,11,WeChat
450000197303075583,71,WeChat
520000200608027227,44,WeChat
110000199201112794,87,WeChat
140000195212261442,15,WeChat
140000200203087028,56,WeChat
440000198802055221,28,WeChat
340000198611291455,66,WeChat
350000198612116917,37,WeChat
510000197112302022,28,WeChat
650000197810042740,28,WeChat
120000198906214691,69,WeChat
330000195912132057,18,WeChat
340000200603091023,29,WeChat
310000197904232539,7,WeChat
210000195106274141,93,WeChat
540000198111040964,59,WeChat
44000019731019313X,36,WeChat
370000198312122884,99,WeChat
430000200203018988,59,WeChat
140000196810165826,40,WeChat
500000197911225877,9,WeChat
13000019690210958X,78,WeChat
